School,Player_Type,Position_Type,Position,Drafted,Team
Michigan St.,offense,backs_receivers,TE,No,Undrafted
LSU,special_teams,kicking_specialist,K,No,Undrafted
Florida,offense,offensive_lineman,OG,No,Undrafted
Boston Col.,offense,offensive_lineman,OT,No,Undrafted
LSU,defense,defensive_lineman,DE,No,Undrafted
Oregon St.,offense,offensive_lineman,C,No,Undrafted
Kentucky,offense,backs_receivers,RB,No,Undrafted
Clemson,defense,defensive_back,SS,No,Undrafted
Oklahoma St.,defense,defensive_back,CB,No,Undrafted
Michigan St.,offense,backs_receivers,WR,No,Undrafted
USC,offense,offensive_lineman,C,No,Undrafted
Cincinnati,special_teams,kicking_specialist,K,No,Undrafted
West Virginia,offense,backs_receivers,WR,No,Undrafted
Iowa,offense,offensive_lineman,OT,No,Undrafted
Rutgers,offense,offensive_lineman,OG,No,Undrafted
Texas,offense,backs_receivers,RB,No,Undrafted
Portland St.,offense,offensive_lineman,OT,No,Undrafted
USC,defense,defensive_lineman,DT,No,Undrafted
Furman,defense,defensive_back,CB,No,Undrafted
Missouri,defense,defensive_lineman,DE,No,Undrafted
Utah,defense,defensive_lineman,DE,No,Undrafted
Mississippi St.,offense,offensive_lineman,C,No,Undrafted
Oregon St.,offense,backs_receivers,WR,No,Undrafted
Vanderbilt,defense,defensive_back,SS,No,Undrafted
BYU,offense,offensive_lineman,OT,No,Undrafted
Wake Forest,defense,defensive_back,SS,No,Undrafted
Florida St.,special_teams,kicking_specialist,P,No,Undrafted
Penn St.,defense,defensive_back,CB,No,Undrafted
Tennessee,offense,backs_receivers,RB,No,Undrafted
Washington,offense,backs_receivers,RB,No,Undrafted
Oregon,defense,defensive_back,SS,No,Undrafted
LSU,offense,backs_receivers,TE,No,Undrafted
Kansas St.,defense,defensive_back,CB,No,Undrafted
Toledo,offense,backs_receivers,WR,No,Undrafted
Stanford,offense,backs_receivers,WR,No,Undrafted
Pittsburgh,offense,offensive_lineman,OG,No,Undrafted
Penn St.,offense,backs_receivers,WR,No,Undrafted
Boise St.,offense,backs_receivers,QB,No,Undrafted
Connecticut,offense,backs_receivers,WR,No,Undrafted
Virginia,defense,defensive_back,CB,No,Undrafted
Maryland,offense,backs_receivers,RB,No,Undrafted
Arkansas St.,defense,defensive_back,SS,No,Undrafted
Clemson,offense,offensive_lineman,OG,No,Undrafted
Merrimack,defense,line_backer,ILB,No,Undrafted
Memphis,offense,offensive_lineman,OG,No,Undrafted
Houston,offense,backs_receivers,QB,No,Undrafted
Washington,offense,backs_receivers,WR,No,Undrafted
North Carolina,offense,backs_receivers,WR,No,Undrafted
Kansas,defense,line_backer,OLB,No,Undrafted
California (PA),offense,offensive_lineman,OG,No,Undrafted
Iowa St.,defense,defensive_back,CB,No,Undrafted
Missouri,offense,backs_receivers,WR,No,Undrafted
San Jose St.,defense,defensive_back,SS,No,Undrafted
Massachusetts,offense,backs_receivers,FB,No,Undrafted
Stanford,defense,defensive_back,SS,No,Undrafted
Auburn,special_teams,other_special,LS,No,Undrafted
USC,defense,defensive_lineman,DT,No,Undrafted
Oregon,defense,defensive_back,CB,No,Undrafted
UCLA,offense,backs_receivers,TE,No,Undrafted
Alabama,offense,backs_receivers,WR,No,Undrafted
Southern Illinois,offense,backs_receivers,RB,No,Undrafted
Missouri,defense,defensive_lineman,DT,No,Undrafted
Notre Dame,offense,backs_receivers,RB,No,Undrafted
Arizona St.,offense,offensive_lineman,C,No,Undrafted
Texas A&M,offense,backs_receivers,WR,No,Undrafted
Rutgers,defense,defensive_lineman,DE,No,Undrafted
Miami (FL),defense,defensive_lineman,DT,No,Undrafted
Houston,offense,backs_receivers,WR,No,Undrafted
Southern Miss,offense,backs_receivers,QB,No,Undrafted
North Dakota St.,offense,offensive_lineman,OT,No,Undrafted
Oklahoma St.,offense,backs_receivers,WR,No,Undrafted
California,defense,defensive_back,SS,No,Undrafted
Georgia,special_teams,kicking_specialist,P,No,Undrafted
Arizona St.,defense,line_backer,ILB,No,Undrafted
Troy,offense,offensive_lineman,OG,No,Undrafted
Ohio St.,offense,offensive_lineman,C,No,Undrafted
Virginia Tech,offense,backs_receivers,WR,No,Undrafted
Mississippi,offense,backs_receivers,RB,No,Undrafted
Tennessee Tech,offense,backs_receivers,WR,No,Undrafted
Pittsburgh,defense,defensive_lineman,DT,No,Undrafted
Yale,offense,backs_receivers,QB,No,Undrafted
Purdue,special_teams,kicking_specialist,K,No,Undrafted
USC,offense,backs_receivers,RB,No,Undrafted
Syracuse,defense,defensive_back,FS,No,Undrafted
Oklahoma St.,defense,defensive_back,SS,No,Undrafted
Oregon,offense,backs_receivers,QB,No,Undrafted
Connecticut,special_teams,kicking_specialist,K,No,Undrafted
San Diego St.,special_teams,kicking_specialist,P,No,Undrafted
South Florida,offense,backs_receivers,RB,No,Undrafted
Nevada,defense,defensive_lineman,DT,No,Undrafted
Michigan St.,defense,defensive_back,FS,No,Undrafted
Arizona St.,offense,backs_receivers,WR,No,Undrafted
LSU,defense,line_backer,OLB,No,Undrafted
Nevada,offense,backs_receivers,RB,No,Undrafted
Oklahoma St.,defense,defensive_lineman,DE,No,Undrafted
North Carolina,defense,defensive_back,CB,No,Undrafted
Richmond,offense,backs_receivers,QB,No,Undrafted
Louisiana Tech,offense,backs_receivers,RB,No,Undrafted
Utah,offense,offensive_lineman,OT,No,Undrafted
Notre Dame,offense,offensive_lineman,OT,No,Undrafted
Illinois,special_teams,kicking_specialist,K,No,Undrafted
BYU,defense,defensive_lineman,DT,No,Undrafted
Wisconsin,defense,defensive_back,CB,No,Undrafted
USC,defense,line_backer,ILB,No,Undrafted
Miami (FL),offense,backs_receivers,QB,No,Undrafted
McNeese St.,defense,defensive_back,FS,No,Undrafted
Arizona St.,defense,defensive_lineman,DE,No,Undrafted
LSU,offense,backs_receivers,QB,No,Undrafted
Wayne State (MI),defense,defensive_back,CB,No,Undrafted
Texas A&M,defense,defensive_back,CB,No,Undrafted
Pittsburgh,defense,line_backer,OLB,No,Undrafted
Penn St.,defense,defensive_back,CB,No,Undrafted
Rice,special_teams,kicking_specialist,P,No,Undrafted
Alabama,offense,backs_receivers,WR,No,Undrafted
Hawaii,defense,defensive_lineman,DT,No,Undrafted
Clemson,defense,defensive_lineman,DT,No,Undrafted
Iowa,defense,line_backer,OLB,No,Undrafted
Virginia Tech,offense,offensive_lineman,OT,No,Undrafted
North Carolina,defense,defensive_lineman,DE,No,Undrafted
North Carolina,defense,defensive_lineman,DT,No,Undrafted
Appalachian St.,defense,defensive_back,CB,No,Undrafted
Syracuse,offense,backs_receivers,TE,No,Undrafted
Pittsburgh,defense,defensive_back,CB,No,Undrafted
Florida St.,offense,backs_receivers,TE,No,Undrafted
Nevada,defense,defensive_back,CB,No,Undrafted
Notre Dame,offense,backs_receivers,RB,No,Undrafted
Cincinnati,offense,backs_receivers,RB,No,Undrafted
LSU,special_teams,kicking_specialist,P,No,Undrafted
Boston Col.,offense,offensive_lineman,OT,No,Undrafted
Southern Miss,offense,offensive_lineman,OT,No,Undrafted
Duke,offense,backs_receivers,WR,No,Undrafted
TCU,offense,backs_receivers,RB,No,Undrafted
Cincinnati,offense,backs_receivers,WR,No,Undrafted
Stanford,defense,line_backer,OLB,No,Undrafted
Wisconsin,defense,line_backer,OLB,No,Undrafted
Virginia Tech,defense,line_backer,ILB,No,Undrafted
Georgia Tech,defense,defensive_back,CB,No,Undrafted
Ohio St.,offense,backs_receivers,TE,No,Undrafted
Cincinnati,defense,defensive_lineman,DE,No,Undrafted
Texas A&M,defense,line_backer,ILB,No,Undrafted
USC,defense,defensive_back,SS,No,Undrafted
Alabama,defense,defensive_lineman,DE,No,Undrafted
Lehigh,offense,backs_receivers,WR,No,Undrafted
Florida St.,offense,backs_receivers,WR,No,Undrafted
Oklahoma St.,special_teams,kicking_specialist,P,No,Undrafted
Arizona,offense,backs_receivers,QB,No,Undrafted
Baylor,offense,backs_receivers,WR,No,Undrafted
Ohio St.,defense,line_backer,OLB,No,Undrafted
Tennessee Tech,offense,backs_receivers,WR,No,Undrafted
USC,defense,defensive_back,CB,No,Undrafted
North Carolina,defense,line_backer,ILB,No,Undrafted
Florida St.,offense,backs_receivers,FB,No,Undrafted
Howard,defense,line_backer,ILB,No,Undrafted
Boston Col.,offense,backs_receivers,TE,No,Undrafted
San Jose St.,offense,backs_receivers,TE,No,Undrafted
Florida,offense,offensive_lineman,OT,No,Undrafted
Missouri,offense,backs_receivers,WR,No,Undrafted
Massachusetts,offense,offensive_lineman,OG,No,Undrafted
California (PA),defense,defensive_back,FS,No,Undrafted
Florida,defense,line_backer,OLB,No,Undrafted
Auburn,offense,backs_receivers,RB,No,Undrafted
Stony Brook,offense,backs_receivers,RB,No,Undrafted
Azusa Pacific,offense,offensive_lineman,OT,No,Undrafted
Nebraska,special_teams,kicking_specialist,K,No,Undrafted
Arizona St.,defense,line_backer,OLB,No,Undrafted
Youngstown St.,offense,offensive_lineman,OG,No,Undrafted
UNLV,defense,line_backer,OLB,No,Undrafted
SMU,offense,backs_receivers,FB,No,Undrafted
Alabama,defense,defensive_back,SS,No,Undrafted
Syracuse,offense,backs_receivers,WR,No,Undrafted
Ball St.,special_teams,kicking_specialist,P,No,Undrafted
Iowa St.,defense,line_backer,OLB,No,Undrafted
Kansas St.,offense,backs_receivers,QB,No,Undrafted
East. Washington,offense,backs_receivers,WR,No,Undrafted
Georgia,defense,defensive_lineman,DT,No,Undrafted
Louisiana Tech,offense,offensive_lineman,OT,No,Undrafted
Arizona St.,defense,defensive_back,SS,No,Undrafted
Purdue,defense,defensive_back,CB,No,Undrafted
Alabama A&M,offense,offensive_lineman,OG,No,Undrafted
SMU,offense,backs_receivers,WR,No,Undrafted
Oklahoma,defense,defensive_back,FS,No,Undrafted
UCLA,defense,defensive_back,CB,No,Undrafted
Rutgers,offense,backs_receivers,WR,No,Undrafted
South Florida,defense,defensive_lineman,DT,No,Undrafted
Minnesota,offense,backs_receivers,QB,No,Undrafted
Pittsburgh,offense,backs_receivers,RB,No,Undrafted
Georgia,defense,defensive_lineman,DT,No,Undrafted
Tennessee St.,offense,offensive_lineman,OT,No,Undrafted
Maryland,offense,backs_receivers,TE,No,Undrafted
LSU,offense,backs_receivers,RB,No,Undrafted
UCLA,offense,backs_receivers,TE,No,Undrafted
LSU,offense,offensive_lineman,OT,No,Undrafted
Memphis,offense,offensive_lineman,OT,No,Undrafted
Virginia Tech,offense,backs_receivers,WR,No,Undrafted
Boston Col.,offense,offensive_lineman,OT,No,Undrafted
Notre Dame,offense,offensive_lineman,C,No,Undrafted
Kansas St.,special_teams,kicking_specialist,K,No,Undrafted
Louisiana Tech,offense,backs_receivers,QB,No,Undrafted
Louisville,defense,defensive_back,CB,No,Undrafted
Georgia,offense,backs_receivers,WR,No,Undrafted
BYU,offense,offensive_lineman,OT,No,Undrafted
Tennessee,offense,backs_receivers,QB,No,Undrafted
Ohio St.,offense,backs_receivers,FB,No,Undrafted
Virginia Tech,offense,offensive_lineman,OT,No,Undrafted
Georgia Tech,defense,defensive_lineman,DT,No,Undrafted
Nevada,offense,offensive_lineman,OG,No,Undrafted
Arkansas,offense,offensive_lineman,OG,No,Undrafted
California,offense,backs_receivers,RB,No,Undrafted
North Carolina St.,offense,offensive_lineman,OG,No,Undrafted
Louisiana Tech,special_teams,kicking_specialist,P,No,Undrafted
Michigan St.,defense,defensive_back,CB,No,Undrafted
Oklahoma,defense,line_backer,ILB,No,Undrafted
Ohio St.,defense,line_backer,OLB,No,Undrafted
Iowa,offense,backs_receivers,QB,No,Undrafted
SMU,defense,defensive_back,CB,No,Undrafted
Arkansas,special_teams,kicking_specialist,P,No,Undrafted
Idaho,special_teams,kicking_specialist,P,No,Undrafted
Hawaii,special_teams,kicking_specialist,P,No,Undrafted
Hawaii,defense,defensive_back,CB,No,Undrafted
Texas A&M,offense,offensive_lineman,OG,No,Undrafted
East. Kentucky,offense,backs_receivers,WR,No,Undrafted
Boise St.,offense,backs_receivers,RB,No,Undrafted
Temple,offense,backs_receivers,RB,No,Undrafted
Arizona St.,special_teams,kicking_specialist,P,No,Undrafted
Hawaii,special_teams,other_special,LS,No,Undrafted
Glenville State,offense,offensive_lineman,OG,No,Undrafted
Nevada,offense,backs_receivers,RB,No,Undrafted
LSU,offense,offensive_lineman,C,No,Undrafted
Auburn,offense,backs_receivers,TE,No,Undrafted
West Virginia,offense,offensive_lineman,C,No,Undrafted
Illinois,defense,defensive_back,FS,No,Undrafted
Florida St.,defense,defensive_back,CB,No,Undrafted
Fresno St.,offense,backs_receivers,RB,No,Undrafted
Penn St.,offense,offensive_lineman,C,No,Undrafted
Richmond,defense,defensive_lineman,DE,No,Undrafted
Georgia St.,offense,backs_receivers,WR,No,Undrafted
Oklahoma,offense,backs_receivers,RB,No,Undrafted
Florida St.,offense,backs_receivers,RB,No,Undrafted
Texas,defense,defensive_lineman,DT,No,Undrafted
West Texas A&M,defense,defensive_lineman,DE,No,Undrafted
Missouri,offense,backs_receivers,WR,No,Undrafted
West Texas A&M,offense,backs_receivers,QB,No,Undrafted
USC,defense,defensive_lineman,DT,No,Undrafted
Arkansas,defense,defensive_lineman,DT,No,Undrafted
Tennessee,offense,offensive_lineman,C,No,Undrafted
Oklahoma St.,offense,backs_receivers,WR,No,Undrafted
Alabama,offense,offensive_lineman,OG,No,Undrafted
BYU,defense,defensive_back,SS,No,Undrafted
Ball St.,offense,backs_receivers,WR,No,Undrafted
Syracuse,offense,backs_receivers,RB,No,Undrafted
Stanford,defense,line_backer,ILB,No,Undrafted
South Carolina,offense,backs_receivers,QB,No,Undrafted
Tulane,special_teams,kicking_specialist,K,No,Undrafted
Florida,defense,defensive_back,CB,No,Undrafted
Tennessee,offense,offensive_lineman,OT,No,Undrafted
Oregon St.,defense,defensive_back,CB,No,Undrafted
North Carolina,offense,backs_receivers,QB,No,Undrafted
USC,offense,backs_receivers,RB,No,Undrafted
South Carolina,defense,defensive_lineman,DT,No,Undrafted
Florida,defense,defensive_back,CB,No,Undrafted
Mississippi St.,offense,backs_receivers,RB,No,Undrafted
Wisconsin,offense,backs_receivers,TE,No,Undrafted
Boston Col.,offense,offensive_lineman,OT,No,Undrafted
Utah,defense,defensive_lineman,DT,No,Undrafted
Baylor,offense,backs_receivers,TE,No,Undrafted
Utah,offense,backs_receivers,TE,No,Undrafted
Miami (FL),offense,backs_receivers,QB,No,Undrafted
Iowa,defense,line_backer,ILB,No,Undrafted
South Florida,defense,defensive_lineman,DE,No,Undrafted
Stanford,defense,defensive_lineman,DE,No,Undrafted
BYU,defense,defensive_lineman,DT,No,Undrafted
Alabama,special_teams,kicking_specialist,P,No,Undrafted
Northern Illinois,offense,backs_receivers,QB,No,Undrafted
Oregon,offense,backs_receivers,TE,No,Undrafted
Missouri,offense,backs_receivers,WR,No,Undrafted
Kansas St.,offense,offensive_lineman,OT,No,Undrafted
LSU,defense,defensive_back,SS,No,Undrafted
Oregon,defense,line_backer,OLB,No,Undrafted
Michigan St.,defense,defensive_back,SS,No,Undrafted
Houston,special_teams,kicking_specialist,P,No,Undrafted
Vanderbilt,defense,defensive_back,FS,No,Undrafted
Tennessee,defense,defensive_lineman,DT,No,Undrafted
Missouri,offense,backs_receivers,RB,No,Undrafted
Missouri Western St.,offense,backs_receivers,FB,No,Undrafted
Notre Dame,offense,backs_receivers,WR,No,Undrafted
Shepherd,defense,line_backer,OLB,No,Undrafted
Florida St.,defense,line_backer,OLB,No,Undrafted
LSU,defense,defensive_lineman,DT,No,Undrafted
Fresno St.,offense,backs_receivers,TE,No,Undrafted
Texas,defense,defensive_lineman,DE,No,Undrafted
McNeese St.,offense,backs_receivers,TE,No,Undrafted
Oklahoma,offense,offensive_lineman,C,No,Undrafted
Texas Tech,defense,defensive_lineman,DT,No,Undrafted
North Carolina,offense,offensive_lineman,OT,No,Undrafted
Miami (FL),offense,backs_receivers,WR,No,Undrafted
Alabama,defense,line_backer,OLB,No,Undrafted
Memphis,special_teams,kicking_specialist,P,No,Undrafted
BYU,offense,backs_receivers,WR,No,Undrafted
Stanford,offense,backs_receivers,FB,No,Undrafted
Florida,offense,offensive_lineman,C,No,Undrafted
South Carolina,defense,defensive_back,CB,No,Undrafted
Wisconsin,offense,offensive_lineman,OG,No,Undrafted
USC,offense,backs_receivers,TE,No,Undrafted
Virginia Tech,defense,defensive_lineman,DE,No,Undrafted
New Mexico St.,offense,backs_receivers,WR,No,Undrafted
Michigan St.,offense,backs_receivers,WR,No,Undrafted
Toledo,offense,backs_receivers,RB,No,Undrafted
Bloomsburg,offense,offensive_lineman,OT,No,Undrafted
Boston Col.,defense,line_backer,OLB,No,Undrafted
Texas,offense,backs_receivers,WR,No,Undrafted
Auburn,defense,defensive_back,CB,No,Undrafted
Arkansas,offense,backs_receivers,RB,No,Undrafted
UNLV,offense,backs_receivers,RB,No,Undrafted
LSU,offense,backs_receivers,FB,No,Undrafted
Louisville,offense,backs_receivers,WR,No,Undrafted
Northwestern,offense,backs_receivers,WR,No,Undrafted
California,defense,defensive_lineman,DT,No,Undrafted
Rutgers,offense,backs_receivers,WR,No,Undrafted
Auburn,special_teams,kicking_specialist,P,No,Undrafted
Florida,offense,backs_receivers,WR,No,Undrafted
Fresno St.,offense,backs_receivers,WR,No,Undrafted
Michigan St.,defense,line_backer,ILB,No,Undrafted
Ohio St.,offense,backs_receivers,WR,No,Undrafted
Illinois,defense,line_backer,OLB,No,Undrafted
Vanderbilt,offense,backs_receivers,WR,No,Undrafted
Rice,special_teams,kicking_specialist,K,No,Undrafted
Iowa,offense,offensive_lineman,OG,No,Undrafted
Colorado St.,offense,backs_receivers,RB,No,Undrafted
Alabama,defense,defensive_back,CB,No,Undrafted
USC,defense,defensive_back,FS,No,Undrafted
Notre Dame,offense,backs_receivers,RB,No,Undrafted
Western Kentucky,offense,backs_receivers,RB,No,Undrafted
SE Louisiana,defense,defensive_back,CB,No,Undrafted
BYU,defense,line_backer,ILB,No,Undrafted
Utah St.,offense,backs_receivers,TE,No,Undrafted
Grand Valley St.,offense,offensive_lineman,C,No,Undrafted
Kansas,offense,backs_receivers,TE,No,Undrafted
Dixie State,offense,backs_receivers,TE,No,Undrafted
Texas,special_teams,kicking_specialist,K,No,Undrafted
SMU,offense,backs_receivers,RB,No,Undrafted
Kansas St.,special_teams,other_special,LS,No,Undrafted
Utah St.,offense,offensive_lineman,C,No,Undrafted
Tennessee St.,offense,backs_receivers,TE,No,Undrafted
Cornell,offense,backs_receivers,QB,No,Undrafted
San Diego St.,offense,backs_receivers,RB,No,Undrafted
East Carolina,offense,backs_receivers,WR,No,Undrafted
Oklahoma,defense,defensive_back,CB,No,Undrafted
Texas A&M,offense,backs_receivers,RB,No,Undrafted
TCU,defense,defensive_back,CB,No,Undrafted
Auburn,defense,defensive_back,FS,No,Undrafted
Alabama,offense,backs_receivers,WR,No,Undrafted
Oregon,defense,line_backer,OLB,No,Undrafted
Iowa,defense,defensive_lineman,DT,No,Undrafted
Texas-El Paso,offense,backs_receivers,TE,No,Undrafted
USC,defense,line_backer,OLB,No,Undrafted
South Carolina,defense,defensive_lineman,DT,No,Undrafted
Alabama,offense,backs_receivers,QB,No,Undrafted
Massachusetts,offense,backs_receivers,TE,No,Undrafted
South Alabama,offense,backs_receivers,TE,No,Undrafted
San Diego St.,offense,backs_receivers,WR,No,Undrafted
Baylor,special_teams,kicking_specialist,P,No,Undrafted
Colorado St.,special_teams,kicking_specialist,K,No,Undrafted
Indiana,defense,defensive_lineman,DT,No,Undrafted
Texas,defense,defensive_lineman,DE,No,Undrafted
Central Michigan,offense,backs_receivers,RB,No,Undrafted
Mississippi,defense,defensive_back,FS,No,Undrafted
Clemson,defense,defensive_back,CB,No,Undrafted
Kansas,special_teams,kicking_specialist,P,No,Undrafted
Florida,defense,defensive_lineman,DT,No,Undrafted
Kentucky,offense,offensive_lineman,OT,No,Undrafted
East. Washington,defense,defensive_back,FS,No,Undrafted
UCLA,defense,defensive_lineman,DT,No,Undrafted
Houston,defense,defensive_lineman,DT,No,Undrafted
Auburn,defense,defensive_back,CB,No,Undrafted
James Madison,defense,defensive_back,FS,No,Undrafted
La-Monroe,special_teams,kicking_specialist,K,No,Undrafted
Toledo,offense,offensive_lineman,C,No,Undrafted
LSU,offense,backs_receivers,RB,No,Undrafted
Maryland,offense,backs_receivers,WR,No,Undrafted
Texas A&M,special_teams,kicking_specialist,K,No,Undrafted
Michigan St.,defense,line_backer,ILB,No,Undrafted
Texas St.,special_teams,kicking_specialist,P,No,Undrafted
UCLA,defense,defensive_back,SS,No,Undrafted
Penn St.,defense,line_backer,OLB,No,Undrafted
Oregon,defense,defensive_back,CB,No,Undrafted
Syracuse,offense,offensive_lineman,OT,No,Undrafted
Colorado St.,offense,backs_receivers,RB,No,Undrafted
Virginia,defense,defensive_back,FS,No,Undrafted
Fresno St.,offense,backs_receivers,WR,No,Undrafted
Central Florida,offense,backs_receivers,WR,No,Undrafted
Washington St.,offense,backs_receivers,QB,No,Undrafted
TCU,defense,defensive_back,FS,No,Undrafted
Miami (FL),defense,defensive_back,FS,No,Undrafted
Baylor,offense,backs_receivers,WR,No,Undrafted
Central Florida,defense,defensive_back,CB,No,Undrafted
BYU,defense,line_backer,OLB,No,Undrafted
Penn St.,special_teams,kicking_specialist,K,No,Undrafted
Nevada,offense,backs_receivers,QB,No,Undrafted
Syracuse,defense,defensive_back,FS,No,Undrafted
Ball St.,offense,backs_receivers,RB,No,Undrafted
Louisville,offense,backs_receivers,RB,No,Undrafted
Michigan St.,defense,defensive_back,FS,No,Undrafted
Auburn,offense,offensive_lineman,C,No,Undrafted
Alabama,defense,line_backer,ILB,No,Undrafted
Towson,defense,defensive_lineman,DE,No,Undrafted
Central Michigan,offense,backs_receivers,WR,No,Undrafted
Colorado St.,defense,line_backer,OLB,No,Undrafted
North Dakota St.,offense,backs_receivers,RB,No,Undrafted
Clemson,defense,defensive_lineman,DE,No,Undrafted
Mississippi St.,defense,defensive_back,CB,No,Undrafted
LSU,offense,offensive_lineman,OT,No,Undrafted
Tennessee,defense,defensive_back,CB,No,Undrafted
Texas A&M,offense,offensive_lineman,OT,No,Undrafted
Florida,special_teams,kicking_specialist,P,No,Undrafted
West. Michigan,defense,defensive_back,CB,No,Undrafted
TCU,offense,backs_receivers,RB,No,Undrafted
East Carolina,offense,backs_receivers,QB,No,Undrafted
Louisville,offense,backs_receivers,RB,No,Undrafted
Notre Dame,special_teams,kicking_specialist,K,No,Undrafted
South Alabama,offense,backs_receivers,QB,No,Undrafted
Duke,offense,backs_receivers,QB,No,Undrafted
Virginia Tech,defense,defensive_back,FS,No,Undrafted
Memphis,offense,offensive_lineman,OG,No,Undrafted
Iowa St.,offense,backs_receivers,TE,No,Undrafted
Clemson,defense,defensive_lineman,DE,No,Undrafted
Utah,offense,backs_receivers,WR,No,Undrafted
South Dakota St.,offense,backs_receivers,FB,No,Undrafted
Montana,defense,defensive_lineman,DE,No,Undrafted
Yale,offense,backs_receivers,FB,No,Undrafted
Norfolk St.,defense,defensive_lineman,DE,No,Undrafted
Oklahoma,offense,offensive_lineman,OG,No,Undrafted
Lafayette,offense,backs_receivers,WR,No,Undrafted
Boise St.,special_teams,kicking_specialist,P,No,Undrafted
SE Louisiana,offense,backs_receivers,QB,No,Undrafted
UNLV,offense,offensive_lineman,OG,No,Undrafted
Texas,offense,backs_receivers,RB,No,Undrafted
Duke,offense,offensive_lineman,OT,No,Undrafted
Boise St.,offense,offensive_lineman,OT,No,Undrafted
Maryland,defense,line_backer,OLB,No,Undrafted
Notre Dame,offense,backs_receivers,WR,No,Undrafted
UNLV,offense,backs_receivers,WR,No,Undrafted
Arkansas,offense,backs_receivers,TE,No,Undrafted
Kansas St.,offense,offensive_lineman,C,No,Undrafted
Florida,defense,line_backer,OLB,No,Undrafted
Coastal Carolina,offense,offensive_lineman,C,No,Undrafted
Kentucky,offense,backs_receivers,RB,No,Undrafted
Harvard,defense,line_backer,OLB,No,Undrafted
Stephen F. Austin,offense,backs_receivers,RB,No,Undrafted
Alabama,offense,backs_receivers,WR,No,Undrafted
Central Arkansas,offense,backs_receivers,WR,No,Undrafted
Portland St.,special_teams,kicking_specialist,P,No,Undrafted
Tenn-Chattanooga,defense,defensive_lineman,DT,No,Undrafted
Prairie View,offense,backs_receivers,QB,No,Undrafted
Harding,offense,backs_receivers,WR,No,Undrafted
Florida St.,offense,offensive_lineman,OG,No,Undrafted
Auburn,offense,offensive_lineman,OT,No,Undrafted
Boston Col.,defense,defensive_lineman,DT,No,Undrafted
Mississippi St.,offense,backs_receivers,WR,No,Undrafted
Auburn,offense,backs_receivers,WR,No,Undrafted
East Carolina,offense,backs_receivers,TE,No,Undrafted
South Carolina,offense,backs_receivers,RB,No,Undrafted
USC,offense,backs_receivers,FB,No,Undrafted
North Carolina,offense,offensive_lineman,OG,No,Undrafted
Syracuse,defense,defensive_lineman,DE,No,Undrafted
Michigan St.,defense,defensive_lineman,DT,No,Undrafted
Oklahoma,defense,line_backer,OLB,No,Undrafted
Wisconsin,offense,backs_receivers,QB,No,Undrafted
Kentucky,defense,defensive_back,FS,No,Undrafted
Colorado,offense,backs_receivers,WR,No,Undrafted
Florida St.,defense,line_backer,ILB,No,Undrafted
San Diego St.,offense,offensive_lineman,OT,No,Undrafted
Duke,offense,offensive_lineman,C,No,Undrafted
Notre Dame,defense,defensive_back,SS,No,Undrafted
Utah St.,offense,backs_receivers,WR,No,Undrafted
Miami (FL),offense,backs_receivers,WR,No,Undrafted
Toledo,offense,backs_receivers,WR,No,Undrafted
UCLA,offense,offensive_lineman,OG,No,Undrafted
Ohio St.,defense,defensive_back,SS,No,Undrafted
Alabama,defense,defensive_lineman,DE,No,Undrafted
Oklahoma St.,defense,defensive_back,CB,No,Undrafted
Utah,defense,line_backer,ILB,No,Undrafted
East Carolina,defense,line_backer,OLB,No,Undrafted
Iowa,defense,defensive_lineman,DE,No,Undrafted
West Virginia,special_teams,kicking_specialist,P,No,Undrafted
Notre Dame,defense,defensive_lineman,DE,No,Undrafted
TCU,special_teams,kicking_specialist,K,No,Undrafted
Baylor,defense,defensive_lineman,DE,No,Undrafted
Utah,defense,line_backer,ILB,No,Undrafted
Florida St.,defense,defensive_lineman,DE,No,Undrafted
Colorado,offense,offensive_lineman,OT,No,Undrafted
Duke,special_teams,kicking_specialist,P,No,Undrafted
Auburn,defense,line_backer,ILB,No,Undrafted
Cincinnati,offense,backs_receivers,WR,No,Undrafted
Florida,offense,backs_receivers,TE,No,Undrafted
Wisconsin,offense,offensive_lineman,OT,No,Undrafted
Ohio St.,offense,backs_receivers,WR,No,Undrafted
Oregon,offense,backs_receivers,WR,No,Undrafted
Virginia Tech,offense,backs_receivers,TE,No,Undrafted
Tennessee,defense,line_backer,OLB,No,Undrafted
USC,offense,backs_receivers,RB,No,Undrafted
Virginia Tech,defense,defensive_lineman,DT,No,Undrafted
Rutgers,defense,line_backer,ILB,No,Undrafted
Iowa,defense,defensive_back,FS,No,Undrafted
Washington,defense,line_backer,OLB,No,Undrafted
Indiana,defense,defensive_lineman,DT,No,Undrafted
Arkansas,offense,offensive_lineman,OT,No,Undrafted
Oklahoma,offense,offensive_lineman,OG,No,Undrafted
Auburn,defense,defensive_back,CB,No,Undrafted
Arizona,offense,backs_receivers,WR,No,Undrafted
Oregon,offense,offensive_lineman,OT,No,Undrafted
Marshall,offense,backs_receivers,RB,No,Undrafted
Mississippi,defense,line_backer,ILB,No,Undrafted
Alabama,offense,offensive_lineman,OT,No,Undrafted
Texas Tech,defense,defensive_lineman,DE,No,Undrafted
Georgia,offense,backs_receivers,FB,No,Undrafted
Michigan St.,defense,defensive_lineman,DT,No,Undrafted
Utah,special_teams,kicking_specialist,P,No,Undrafted
